# z   n(z)
0.46597 0.03631
0.46637 0.03531
0.46677 0.03431
0.46717 0.03331
0.46757 0.03240
0.46797 0.03193
0.46837 0.03146
0.46877 0.03098
0.46917 0.03051
0.46957 0.03003
0.46997 0.02956
0.47037 0.02908
0.47077 0.02861
0.47117 0.02813
0.47157 0.02766
0.47197 0.02719
0.47237 0.02671
0.47277 0.02610
0.47317 0.02543
0.47357 0.02476
0.47397 0.02409
0.47437 0.02342
0.47477 0.02275
0.47518 0.02207
0.47558 0.02140
0.47598 0.02073
0.47638 0.02006
0.47678 0.01939
0.47718 0.01872
0.47758 0.01809
0.47798 0.01765
0.47838 0.01721
0.47878 0.01677
0.47918 0.01634
0.47958 0.01590
0.47998 0.01546
0.48038 0.01502
0.48078 0.01458
0.48118 0.01414
0.48158 0.01370
0.48198 0.01327
0.48238 0.01283
0.48278 0.01254
0.48318 0.01231
0.48358 0.01208
0.48398 0.01185
0.48438 0.01162
0.48478 0.01139
0.48519 0.01116
0.48559 0.01093
0.48599 0.01070
0.48639 0.01047
0.48679 0.01024
0.48719 0.01001
0.48759 0.00979
0.48799 0.00956
0.48839 0.00933
0.48879 0.00910
0.48919 0.00887
0.48959 0.00864
0.48999 0.00841
0.49039 0.00818
0.49079 0.00795
0.49119 0.00772
0.49159 0.00749
0.49199 0.00727
0.49239 0.00704
0.49279 0.00684
0.49319 0.00666
0.49359 0.00648
0.49399 0.00631
0.49439 0.00613
0.49479 0.00595
0.49520 0.00577
0.49560 0.00559
0.49600 0.00541
0.49640 0.00523
0.49680 0.00505
0.49720 0.00487
0.49760 0.00471
0.49800 0.00460
0.49840 0.00449
0.49880 0.00439
0.49920 0.00428
0.49960 0.00417
0.50000 0.00406
